Datos_Completos
age,gender,Academic_Level,Country,avg_daily_usage_hours,Most_Used_Platform,affects_academic_performance,sleep_hours_per_night, mental_health_score ,relationship_status_single,conflicts_over_social_media,addicted_score
20,Male,Engineer,Mexico,5,WhatsApp,1,6,0,Single,0,0
21,Male,Engineer,Mexico,8,Instagram,1,8,0,In a relationship,0,0
52,Female,Engineer,Mexico,1,WhatsApp,0,6,0,In a relationship,0,0
21,Female,Engineer,Mexico,4,TikTok,1,8,0,Single,0,0
19,Male,Secondary,Mexico,8,Instagram,0,6,0,In a relationship,0,0
24,Male,Engineer,Mexico,5,Instagram,1,6,0,In a relationship,0,0
16,Female,Secondary,Mexico,2,TikTok,0,8,0,Single,0,0
19,Female,Engineer,Mexico,3,WhatsApp,0,8,0,Single,0,0
18,Male,Engineer,Mexico,7,Instagram,0,5,0,Single,0,0
20,Female,Engineer,Mexico,6,TikTok,1,6,0,Complicated,0,0
21,Male,Engineer,Mexico,5,TikTok,1,4,0,In a relationship,0,0
19,Female,Secondary,Mexico,5,Instagram,0,7,0,In a relationship,0,0
19,Female,Engineer,Mexico,5,WhatsApp,0,6,0,Single,0,0
22,Female,Engineer,Mexico,6,TikTok,1,7,0,Single,0,0
20,Female,Engineer,Mexico,2,Instagram,0,8,0,Single,0,0
23,Female,Engineer,Mexico,10,WhatsApp,0,5,0,Complicated,0,0
23,Male,Engineer,Mexico,5,Instagram,0,5,0,Single,0,0
19,Male,Engineer,Mexico,6,Instagram,1,7,0,In a relationship,0,0
16,Female,Secondary,Mexico,9,Instagram,1,8,0,Single,0,0
17,Female,Secondary,Mexico,5,TikTok,0,6,0,In a relationship,0,0
23,Male,Engineer,Mexico,6,TikTok,0,7,0,Single,0,0
21,Female,Secondary,Mexico,10,WhatsApp,0,5,0,Complicated,0,0
21,Female,Secondary,Mexico,5,Instagram,0,8,0,Single,0,0
18,Male,Secondary,Mexico,5,Twitter,0,8,0,Single,0,0
22,Male,Engineer,Mexico,6,TikTok,1,3,0,Complicated,0,0
21,Female,Engineer,Mexico,4,TikTok,0,4,0,Single,0,0
21,Female,Engineer,Mexico,5,TikTok,1,8,0,Complicated,0,0
25,Female,Engineer,Mexico,2,TikTok,0,6,0,In a relationship,0,0
21,Female,Engineer,Mexico,6,TikTok,1,6,0,Single,0,0
21,Male,Engineer,Mexico,3,TikTok,0,8,0,In a relationship,0,0
21,Female,Engineer,Mexico,2,Instagram,0,8,0,In a relationship,0,0
22,Female,Engineer,Mexico,4,TikTok,1,12,0,Single,0,0
20,Female,Engineer,Mexico,8,WhatsApp,0,6,0,Single,0,0
21,Male,Engineer,Mexico,6,TikTok,0,9,0,Complicated,0,0
21,Female,Engineer,Mexico,15,Instagram,0,5,0,Single,0,0
21,Female,Engineer,Mexico,6,TikTok,0,6,0,Single,0,0
19,Male,Secondary,Mexico,5,WhatsApp,0,8,0,Single,0,0
22,Female,Engineer,Mexico,10,Instagram,1,6,0,In a relationship,0,0
20,Female,Secondary,Mexico,2,TikTok,0,10,0,Single,0,0
22,Male,Engineer,Mexico,6,TikTok,1,6,0,Single,0,0
19,Female,Engineer,Mexico,4,Instagram,0,4.5,0,In a relationship,0,0
22,Female,Engineer,Mexico,6,Facebook,0,9,0,In a relationship,0,0
18,Male,graduate,Mexico,12,WhatsApp,0,8,0,In a relationship,0,0
20,Female,Engineer,Mexico,6,Instagram,1,8,0,Single,0,0
20,Female,Secondary,Mexico,8,TikTok,0,8,0,In a relationship,0,0
22,Male,Engineer,Mexico,6,TikTok,1,7,0,In a relationship,0,0
19,Female,Engineer,Mexico,3,TikTok,0,6,0,Single,0,0
19,Female,Engineer,Mexico,4,Instagram,0,4,0,In a relationship,0,0
20,Male,Engineer,Mexico,9,TikTok,1,6,0,In a relationship,0,0
20,Male,Secondary,Mexico,8,Facebook,1,6,0,Single,0,0
19,Female,Engineer,Mexico,4,Instagram,0,4,0,In a relationship,0,0
18,Male,Secondary,Mexico,4,Facebook,1,4,0,Single,0,0
21,Female,Engineer,Mexico,6,TikTok,0,8,0,Single,0,0
22,Female,Engineer,Mexico,8,TikTok,1,8,0,In a relationship,0,0
21,Female,Engineer,Mexico,10,TikTok,0,8,0,Single,0,0
24,Female,Engineer,Mexico,8,TikTok,0,9,0,Single,0,0
49,Male,Secondary,Mexico,2,Facebook,0,7,0,In a relationship,0,0
18,Female,Engineer,Mexico,18,Twitter,0,7,0,Single,0,0
19,Female,Engineer,Mexico,6,TikTok,0,9,0,Single,0,0
20,Male,Engineer,Mexico,5,Instagram,0,8,0,Single,0,0
21,Female,Engineer,Mexico,6,TikTok,0,8,0,In a relationship,0,0
20,Female,Engineer,Mexico,10,WhatsApp,1,6,0,In a relationship,0,0
23,Male,Engineer,Mexico,6,Instagram,0,8,0,Single,0,0
23,Female,Engineer,Mexico,24,WhatsApp,0,12,0,Single,0,0
20,Female,Engineer,Mexico,5,Instagram,0,7,0,Single,0,0
21,Female,Engineer,Mexico,8,YouTube,0,8,0,In a relationship,0,0
21,Male,Engineer,Mexico,8,TikTok,0,7,0,Single,0,0
20,Female,Engineer,Mexico,2,TikTok,0,7,0,Single,0,0
22,Male,Engineer,Mexico,8,TikTok,0,9,0,Single,0,0
20,Male,Engineer,Mexico,2,TikTok,0,6,0,Single,0,0
20,Male,Engineer,Mexico,2,Facebook,0,7,0,In a relationship,0,0
20,Male,Engineer,Mexico,4,TikTok,0,7,0,Single,0,0
20,Female,Engineer,Mexico,20,TikTok,1,4,0,Complicated,0,0
23,Male,Engineer,Mexico,5,Facebook,0,6,0,Single,0,0
21,Male,Engineer,Mexico,4,TikTok,1,7,0,Single,0,0
21,Male,Engineer,Mexico,3,Facebook,0,7,0,In a relationship,0,0
21,Male,Engineer,Mexico,2,TikTok,1,5,0,Complicated,0,0
21,Male,Engineer,Mexico,4,TikTok,0,8,0,Single,0,0
27,Female,Engineer,Mexico,6,Instagram,0,7,0,In a relationship,0,0
21,Female,Engineer,Mexico,5,TikTok,0,6,0,In a relationship,0,0
24,Male,Engineer,Mexico,10,TikTok,0,8,0,Single,0,0
21,Male,Engineer,Mexico,5,TikTok,0,4,0,In a relationship,0,0
21,Male,Engineer,Mexico,8,Instagram,0,8,0,Single,0,0
21,Female,Engineer,Mexico,4,TikTok,0,9,0,Single,0,0
20,Male,Engineer,Mexico,6,Facebook,0,3,0,Single,0,0
20,Female,Engineer,Mexico,3,TikTok,0,5,0,Single,0,0
27,Male,Engineer,Mexico,4,TikTok,0,10,0,In a relationship,0,0
22,Male,Engineer,Mexico,5,YouTube,0,6,0,Single,0,0
22,Male,Engineer,Mexico,6,YouTube,0,7,0,Single,0,0
21,Female,Engineer,Mexico,5,TikTok,1,7,0,Single,0,0
24,Female,Engineer,Mexico,5,YouTube,0,8,0,Single,0,0
20,Male,Secondary,Mexico,4,TikTok,0,6,0,Single,0,0
21,Female,Engineer,Mexico,8,TikTok,1,8,0,In a relationship,0,0
20,Female,Engineer,Mexico,2,TikTok,0,8,0,In a relationship,0,0
21,Female,Engineer,Mexico,6,TikTok,1,6,0,Complicated,0,0
20,Male,Engineer,Mexico,6,TikTok,0,8,0,Single,0,0
21,Female,Engineer,Mexico,5,TikTok,0,8,0,Single,0,0
28,Male,Engineer,Mexico,6,WhatsApp,0,8,0,Single,0,0
22,Female,Engineer,Mexico,18,TikTok,0,3,0,In a relationship,0,0
23,Male,Engineer,Mexico,8,TikTok,1,4,0,Single,0,0
23,Female,Engineer,Mexico,5,Instagram,0,8,0,In a relationship,0,0
23,Female,Engineer,Mexico,10,TikTok,0,6,0,In a relationship,0,0
19,Female,Secondary,Mexico,4,YouTube,0,8,0,Single,0,0
22,Male,Secondary,Mexico,8,TikTok,1,5,0,In a relationship,0,0
23,Male,Engineer,Mexico,5,WhatsApp,0,8,0,Single,0,0
21,Male,Engineer,Mexico,24,TikTok,1,7,0,Complicated,0,0
16,Male,Secondary,Mexico,3,TikTok,0,8,0,Single,0,0
20,Male,Engineer,USA,3,Instagram,1,0,8,Single,0,4
25,Male,Engineer,Bangladesh,2,Snapchat,0,1,8,In a relationship,4,7
25,Male,Engineer,USA,4,YouTube,0,1,8,Complicated,4,9
23,Male,Secondary,Japan,5,Twitter,1,0,8,Single,0,6
19,Male,Secondary,Brazil,4,Twitter,1,0,9,Complicated,0,5
30,Male,Engineer,Mexico,4,Facebook,0,1,6,In a relationship,5,10
23,Female,Secondary,UK,2,Twitter,1,0,7,Complicated,0,2
18,Female,Graduate,Mexico,3,YouTube,0,1,4,Complicated,0,3
22,Female,Graduate,Mexico,1,YouTube,0,1,6,Single,5,6
25,Male,Secondary,Mexico,8,Snapchat,0,1,6,In a relationship,3,10
20,Male,Engineer,Brazil,2,Instagram,1,0,9,In a relationship,1,3
23,Male,Graduate,Mexico,8,TikTok,0,1,7,In a relationship,2,10
22,Male,Graduate,Germany,5,Instagram,0,1,5,In a relationship,0,6
22,Male,Secondary,Brazil,2,Instagram,0,1,5,In a relationship,2,4
22,Female,Secondary,Canada,5,Twitter,0,1,8,Complicated,3,9
18,Male,Engineer,UK,6,YouTube,0,1,8,Complicated,3,10
24,Female,Engineer,Bangladesh,3,TikTok,0,1,6,In a relationship,0,3
25,Male,Graduate,Brazil,2,Snapchat,0,1,6,Single,4,7
20,Male,Graduate,UK,5,Facebook,1,0,7,Single,0,6
25,Female,Engineer,Germany,3,YouTube,0,1,4,Complicated,1,5
22,Male,Graduate,USA,5,Facebook,0,1,4,In a relationship,0,6
19,Male,Graduate,Mexico,2,Instagram,0,1,5,Complicated,3,5
25,Male,Secondary,Mexico,1,Facebook,0,1,8,Single,5,6
22,Male,Graduate,Mexico,7,Snapchat,0,1,5,In a relationship,3,10
23,Female,Secondary,Brazil,3,TikTok,0,1,7,Single,4,7
25,Male,Graduate,India,5,TikTok,0,1,7,Complicated,4,10
17,Male,Secondary,Japan,4,Instagram,0,0,7,Complicated,0,5
24,Male,Engineer,Mexico,4,TikTok,0,1,7,Single,3,8
20,Female,Secondary,Canada,4,Instagram,0,1,5,Single,4,9
23,Male,Secondary,Mexico,4,Facebook,0,1,8,Single,4,9
18,Male,Engineer,Canada,3,Facebook,0,0,9,In a relationship,1,5
17,Male,Secondary,UK,8,TikTok,0,1,7,Complicated,1,10
20,Male,Engineer,Canada,6,Snapchat,0,1,6,Complicated,2,10
25,Male,Secondary,Mexico,5,Facebook,0,1,5,Single,4,9
22,Male,Secondary,Mexico,4,YouTube,0,1,5,Complicated,4,8
22,Male,Secondary,Brazil,1,Instagram,0,0,7,In a relationship,0,2
22,Male,Graduate,UK,6,Snapchat,0,1,6,Single,4,10
24,Male,Engineer,Germany,4,TikTok,0,1,8,In a relationship,5,9
18,Female,Graduate,Bangladesh,4,Facebook,0,1,5,In a relationship,1,5
23,Male,Engineer,Brazil,1,Snapchat,1,0,9,Single,1,3
21,Male,Engineer,India,7,Instagram,0,1,5,Single,1,10
18,Female,Engineer,USA,5,Twitter,1,0,8,In a relationship,0,5
24,Male,Graduate,Japan,4,Facebook,0,1,4,In a relationship,5,10
23,Male,Secondary,Germany,3,Snapchat,1,0,7,Complicated,2,5
22,Male,Secondary,Bangladesh,3,TikTok,1,0,7,In a relationship,2,6
21,Male,Secondary,Germany,4,Instagram,0,1,6,Single,0,4
23,Female,Graduate,Germany,2,TikTok,0,1,6,In a relationship,3,6
19,Male,Engineer,Brazil,8,Facebook,0,1,4,In a relationship,5,10
23,Male,Engineer,Mexico,5,YouTube,1,0,9,In a relationship,1,7
22,Female,Graduate,Mexico,6,Facebook,0,1,6,Complicated,4,10
21,Male,Engineer,UK,5,TikTok,0,0,6,Complicated,5,5
20,Male,Secondary,Germany,1,Snapchat,1,0,7,In a relationship,3,1
18,Female,Engineer,Mexico,3,Snapchat,1,0,6,In a relationship,1,4
22,Female,Secondary,Mexico,6,Snapchat,0,1,7,Complicated,5,9
21,Female,Graduate,Brazil,2,TikTok,0,1,8,Complicated,0,3
19,Male,Engineer,India,3,Facebook,0,1,6,Single,2,5
23,Female,Secondary,India,5,YouTube,0,1,7,In a relationship,3,5
25,Female,Secondary,Germany,5,Twitter,0,1,6,Single,0,5
21,Male,Engineer,India,4,Twitter,1,0,7,In a relationship,0,4
22,Male,Secondary,Bangladesh,7,Instagram,0,1,6,In a relationship,0,7
19,Male,Engineer,Brazil,7,Facebook,0,1,7,Complicated,4,10
18,Male,Engineer,Brazil,5,YouTube,0,1,8,Single,3,8
21,Male,Engineer,USA,4,TikTok,1,0,9,In a relationship,0,6
21,Female,Engineer,Canada,7,YouTube,0,1,6,Complicated,2,10
19,Female,Engineer,USA,5,Twitter,0,1,9,In a relationship,0,7
25,Male,Secondary,India,6,Facebook,0,1,6,Single,5,9
24,Female,Secondary,Germany,2,TikTok,1,0,6,Single,0,2
19,Male,Graduate,Bangladesh,5,YouTube,0,1,7,Single,5,8
20,Female,Engineer,Mexico,4,YouTube,0,1,8,In a relationship,5,7
28,Male,Engineer,Brazil,8,Snapchat,0,1,7,Complicated,5,10
20,Female,Secondary,Brazil,4,TikTok,0,1,7,Single,5,8
20,Male,Engineer,Germany,2,Instagram,1,0,8,Complicated,0,3
25,Male,Secondary,UK,7,YouTube,0,1,6,In a relationship,5,9
25,Male,Engineer,Mexico,5,Instagram,0,1,5,In a relationship,3,7
23,Male,Engineer,Brazil,6,Twitter,0,1,6,In a relationship,3,9
20,Male,Engineer,Mexico,4,Facebook,0,8,10,Single,0,9
23,Male,University Higher Technician,Mexico,8,TikTok,0,7,7,In a relationship,2,10
23,Female,University Higher Technician,Mexico,5,Instagram,0,6,10,Single,0,4
23,Female,University Higher Technician,Mexico,3,TikTok,0,6,8,In a relationship,0,0
23,Female,University Higher Technician,Mexico,3,TikTok,0,6,8,In a relationship,0,0
25,Female,University Higher Technician,Mexico,5,Instagram,0,8,9,In a relationship,4,3
21,Female,Preparatory,Mexico,6,TikTok,0,7,8,In a relationship,0,4
22,Female,University Higher Technician,Mexico,8,TikTok,0,9,7,Single,0,4
21,Female,University Higher Technician,Mexico,5,TikTok,0,6,9,In a relationship,2,10
21,Female,University Higher Technician,Mexico,5,TikTok,0,6,9,In a relationship,2,10
17,Female,Preparatory,Mexico,8,TikTok,0,12,7,In a relationship,0,1
62,Male,Preparatory,Mexico,2,WhatsApp,0,8,10,Married,0,4
23,Female,University Higher Technician,Mexico,5,TikTok,1,8,6,Single,0,6
16,Male,University Higher Technician,Mexico,4,TikTok,0,8,10,In a relationship,0,2
31,Female,University Higher Technician,Mexico,4,TikTok,0,6,10,Single,0,0
28,Female,Engineer,Mexico,5,Facebook,0,8,8,In a relationship,0,0
21,Male,University Higher Technician,Mexico,5,Discord,0,7,10,In a relationship,0,3
20,Male,University Higher Technician,Mexico,8,Instagram,0,8,8,Single,0,8
20,Male,University Higher Technician,Mexico,8,Instagram,0,8,8,Single,0,8
20,Male,University Higher Technician,Mexico,8,Instagram,0,8,8,Single,0,8
23,Male,University Higher Technician,Mexico,2,TikTok,0,5,10,Single,0,3
29,Female,Preparatory,Mexico,8,TikTok,0,7,8,Single,0,3
35,Female,Preparatory,Mexico,12,WhatsApp,0,8,1,In a relationship,0,10
22,Female,University Higher Technician,Mexico,5,Facebook,0,8,7,In a relationship,0,7
18,Female,University Higher Technician,Mexico,5,TikTok,0,6,6,In a relationship,0,7
28,Female,Engineer,Mexico,2,Pinterest,0,3,8,Married,0,5
25,Female,University Higher Technician,Mexico,6,Facebook,0,5,10,Married,3,4
21,Male,University Higher Technician,Mexico,8,WhatsApp,0,8,10,Single,0,0
38,Male,graduate,Mexico,3,WhatsApp,0,5,8,Single,0,6
50,Male,Preparatory,Mexico,4,Facebook,0,7,9,Married,0,2
20,Male,Preparatory,Mexico,3,Instagram,0,0,10,Single,1,5
57,Female,Preparatory,Mexico,1,Facebook,0,8,9,Married,0,7
45,Male,Preparatory,Mexico,3,Facebook,0,8,10,In a relationship,0,2
43,Female,University Higher Technician,Mexico,2,WhatsApp,0,7,6,Married,0,1
18,Female,University Higher Technician,Mexico,3,WhatsApp,0,4,5,Single,0,3
35,Male,Preparatory,Mexico,7,TikTok,0,6,7,In a relationship,0,10
17,Female,Preparatory,Mexico,5,TikTok,0,5,8,In a relationship,0,4
24,Female,University Higher Technician,Mexico,3,WhatsApp,0,7,9,Married,0,1
21,Male,University Higher Technician,Mexico,2,TikTok,0,5,6,Single,0,10
21,Male,Preparatory,Mexico,8,TikTok,0,8,10,In a relationship,0,7
23,Male,University Higher Technician,Mexico,1,WhatsApp,0,5,10,Single,0,1
24,Female,Primary,Mexico,1,Facebook,0,8,10,Married,0,1
34,Male,University Higher Technician,Mexico,2,TikTok,0,7,8,In a relationship,1,2
22,Male,University Higher Technician,Mexico,4,Instagram,0,6,8,Single,1,2
22,Male,University Higher Technician,Mexico,4,Instagram,0,6,8,Single,1,2
35,Male,Preparatory,Mexico,6,Facebook,0,6,7,Single,0,0
35,Male,Preparatory,Mexico,6,Facebook,0,6,7,Single,0,0
23,Male,Engineer,Mexico,6,Facebook,0,7,7,In a relationship,0,5
22,Male,Engineer,Mexico,2,YouTube,1,6,7,Single,0,1
15,Male,graduate,Zimbabue,12,TikTok,0,0,10,Single,5,10
34,Female,Preparatory,Mexico,1,Facebook,0,12,1,In a relationship,0,0
19,Female,Engineer,Mexico,5,Facebook,0,7,2,Single,0,7
29,Female,Engineer,Mexico,5,Instagram,1,6,8,In a relationship,0,5
28,Otro,University Higher Technician,Mexico,9,Facebook,1,8,6,In a relationship,0,10
32,Male,Preparatory,Mexico,5,Instagram,0,7,8,Single,0,3
24,Male,University Higher Technician,Mexico,3,Instagram,0,6,10,In a relationship,0,2
40,Male,Preparatory,Mexico,7,Facebook,1,7,5,Married,0,10
41,Male,University Higher Technician,Mexico,3,WhatsApp,0,5,8,Married,0,2
14,Male,Secondary,Mexico,5,WhatsApp,0,12,7,In a relationship,0,7
30,Female,Preparatory,Mexico,3,Facebook,0,7,1,Single,0,1
19,Female,Engineer,Mexico,3,Instagram,0,5,10,Single,0,4
32,Female,Preparatory,Mexico,6,Facebook,0,8,10,Married,0,5
27,Male,graduate,Mexico,7,WeChat,0,8,10,In a relationship,0,3
27,Male,graduate,Mexico,7,WeChat,0,8,10,In a relationship,0,3
21,Male,University Higher Technician,Mexico,1,TikTok,0,8,4,In a relationship,0,10
45,Female,University Higher Technician,Mexico,3,Facebook,0,7,8,Single,0,5
19,Male,University Higher Technician,Mexico,3,TikTok,0,7,9,In a relationship,1,5
24,Male,Secondary,Mexico,1,WhatsApp,0,7,10,Married,0,1
42,Male,Preparatory,Mexico,9,WhatsApp,1,8,10,Married,0,10
24,Female,University Higher Technician,Mexico,4,TikTok,0,7,5,Single,0,3
16,Male,Preparatory,Mexico,2,Twitter,0,7,9,In a relationship,0,1
61,Female,Preparatory,Mexico,1,Facebook,0,8,10,Married,0,4
23,Male,University Higher Technician,Mexico,2,Facebook,0,8,10,In a relationship,0,3
23,Male,Preparatory,Mexico,3,TikTok,0,6,5,Single,0,5
25,Female,University Higher Technician,Mexico,3,Twitter,0,8,9,Single,1,7
28,Female,Preparatory,Mexico,3,TikTok,1,7,1,In a relationship,0,7
32,Female,Secondary,Mexico,4,Facebook,0,8,1,Married,0,6
